iter	Passed	Remaining
0	168	167939
1	182	91305
2	199	66383
3	210	52482
4	222	44341
5	234	38906
6	246	34969
7	257	31886
8	269	29645
9	279	27713
10	291	26221
11	303	24990
12	312	23741
13	324	22855
14	336	22096
15	347	21393
16	359	20780
17	371	20252
18	386	19930
19	400	19635
20	412	19215
21	424	18850
22	435	18517
23	447	18192
24	456	17821
25	468	17550
26	480	17303
27	491	17065
28	503	16857
29	515	16662
30	526	16467
31	538	16295
32	550	16143
33	566	16081
34	580	16015
35	593	15890
36	605	15752
37	616	15614
38	628	15486
39	640	15365
40	651	15246
41	675	15409
42	690	15357
43	715	15542
44	753	15992
45	770	15974
46	793	16092
47	808	16033
48	823	15987
49	860	16340
50	895	16657
51	929	16941
52	974	17410
53	993	17401
54	1017	17487
55	1030	17369
56	1047	17321
57	1066	17329
58	1079	17218
59	1102	17271
60	1130	17396
61	1142	17285
62	1170	17403
63	1185	17330
64	1253	18024
65	1285	18192
66	1321	18402
67	1344	18430
68	1356	18305
69	1371	18227
70	1390	18198
71	1402	18080
72	1414	17960
73	1426	17854
74	1438	17740
75	1450	17629
76	1461	17520
77	1473	17415
78	1485	17314
79	1496	17211
80	1508	17118
81	1520	17024
82	1532	16929
83	1556	16971
84	1569	16895
85	1581	16812
86	1593	16725
87	1605	16639
88	1616	16550
89	1628	16465
90	1639	16379
91	1651	16299
92	1663	16221
93	1675	16145
94	1686	16066
95	1697	15988
96	1709	15911
97	1728	15906
98	1743	15866
99	1759	15833
100	1772	15773
101	1783	15703
102	1795	15634
103	1807	15569
104	1818	15503
105	1830	15435
106	1841	15369
107	1853	15304
108	1864	15243
109	1876	15179
110	1888	15122
111	1899	15064
112	1914	15029
113	1939	15076
114	1951	15019
115	1963	14966
116	1976	14917
117	1988	14862
118	2007	14859
119	2018	14804
120	2031	14756
121	2044	14716
122	2056	14663
123	2068	14613
124	2080	14560
125	2092	14515
126	2104	14467
127	2116	14420
128	2128	14373
129	2149	14384
130	2165	14363
131	2177	14320
132	2189	14274
133	2201	14229
134	2213	14180
135	2224	14134
136	2236	14087
137	2247	14040
138	2259	13995
139	2278	13998
140	2291	13957
141	2302	13914
142	2314	13870
143	2325	13825
144	2337	13784
145	2349	13743
146	2361	13701
147	2373	13662
148	2384	13619
149	2396	13577
150	2407	13536
151	2419	13498
152	2431	13458
153	2456	13493
154	2468	13456
155	2480	13421
156	2493	13388
157	2505	13354
158	2517	13317
159	2529	13280
160	2541	13243
161	2553	13207
162	2565	13172
163	2577	13136
164	2588	13100
165	2600	13064
166	2612	13029
167	2627	13009
168	2641	12987
169	2653	12954
170	2665	12921
171	2677	12889
172	2689	12856
173	2701	12825
174	2713	12792
175	2725	12761
176	2739	12736
177	2751	12704
178	2762	12671
179	2774	12639
180	2786	12608
181	2798	12578
182	2812	12554
183	2823	12523
184	2836	12495
185	2848	12464
186	2859	12432
187	2871	12401
188	2882	12370
189	2894	12341
190	2905	12304
191	2916	12274
192	2928	12243
193	2939	12212
194	2951	12182
195	2966	12168
196	2978	12140
197	2995	12131
198	3007	12104
199	3018	12075
200	3030	12047
201	3042	12020
202	3054	11991
203	3065	11961
204	3077	11934
205	3089	11907
206	3101	11879
207	3112	11851
208	3124	11823
209	3136	11797
210	3148	11773
211	3160	11747
212	3175	11734
213	3188	11711
214	3200	11686
215	3212	11660
216	3224	11636
217	3236	11609
218	3248	11584
219	3260	11559
220	3272	11534
221	3283	11508
222	3295	11482
223	3307	11457
224	3318	11431
225	3330	11406
226	3342	11381
227	3357	11368
228	3369	11345
229	3381	11320
230	3393	11296
231	3405	11272
232	3417	11249
233	3429	11225
234	3441	11203
235	3453	11179
236	3465	11155
237	3476	11131
